epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
16,3343.84,1.31225,1.31457,1.58276,0.549,0.61436,0.5926,0.29599,1.5982,1.18622,1.88015,0.00087875,0.00087875,0.00087875
17,3540.31,1.28517,1.28973,1.56417,0.54363,0.64361,0.59171,0.28964,1.59077,1.1874,1.87586,0.000854,0.000854,0.000854
18,3738.2,1.29138,1.27324,1.55714,0.53157,0.61347,0.62008,0.30622,1.5569,1.18402,1.82356,0.00082925,0.00082925,0.00082925
19,3933.77,1.27904,1.25898,1.54778,0.60787,0.61452,0.63209,0.30765,1.57021,1.12744,1.83914,0.0008045,0.0008045,0.0008045
20,4129.39,1.27563,1.25164,1.54699,0.53288,0.66292,0.62927,0.30227,1.55301,1.11458,1.82095,0.00077975,0.00077975,0.00077975
21,4325.61,1.26111,1.22362,1.54017,0.55804,0.66482,0.65769,0.33217,1.5083,1.10282,1.78455,0.000755,0.000755,0.000755
22,4523.82,1.2574,1.21471,1.52792,0.68822,0.65115,0.67214,0.34466,1.53137,1.09187,1.79114,0.00073025,0.00073025,0.00073025
23,4721.15,1.25223,1.19604,1.52759,0.64079,0.66255,0.67694,0.34011,1.54277,1.05642,1.80904,0.0007055,0.0007055,0.0007055
24,4919.1,1.23983,1.1699,1.51528,0.65169,0.63553,0.67264,0.34497,1.51011,1.03888,1.77209,0.00068075,0.00068075,0.00068075
25,5115.5,1.23027,1.15157,1.50585,0.69836,0.63459,0.66528,0.34761,1.50098,1.01218,1.77052,0.000656,0.000656,0.000656
26,5312.55,1.21488,1.12748,1.49544,0.74403,0.66689,0.69847,0.35869,1.50911,0.99487,1.77228,0.00063125,0.00063125,0.00063125
27,5509.02,1.21309,1.11097,1.49033,0.75575,0.67084,0.72585,0.37627,1.49212,0.99992,1.77007,0.0006065,0.0006065,0.0006065
28,5705.04,1.20359,1.11565,1.48586,0.75475,0.69192,0.71682,0.36779,1.49482,0.98893,1.74413,0.00058175,0.00058175,0.00058175
29,5902.09,1.19636,1.09248,1.48151,0.78354,0.6564,0.7344,0.3869,1.45255,0.95021,1.72379,0.000557,0.000557,0.000557
30,6098.81,1.18696,1.09129,1.47369,0.7406,0.66923,0.71121,0.37158,1.46663,0.96816,1.74665,0.00053225,0.00053225,0.00053225
31,6295.1,1.18403,1.07955,1.47137,0.76501,0.66633,0.72906,0.38341,1.44602,0.93722,1.71207,0.0005075,0.0005075,0.0005075
32,6492.46,1.16701,1.04994,1.45446,0.75631,0.71374,0.72905,0.38652,1.44038,0.91387,1.70278,0.00048275,0.00048275,0.00048275
33,6688,1.16078,1.03409,1.45068,0.79033,0.69056,0.74882,0.38561,1.43637,0.9069,1.70304,0.000458,0.000458,0.000458
34,6883.28,1.14373,1.01956,1.44223,0.75921,0.71253,0.76335,0.39413,1.43233,0.89774,1.69745,0.00043325,0.00043325,0.00043325
35,7079.73,1.14865,1.02101,1.44731,0.80234,0.67888,0.75663,0.40023,1.41528,0.88801,1.68047,0.0004085,0.0004085,0.0004085
36,7276.25,1.14314,1.0067,1.43844,0.72056,0.71283,0.74894,0.39024,1.39997,0.87549,1.66356,0.00038375,0.00038375,0.00038375
37,7472.55,1.12214,0.98361,1.41739,0.79281,0.71763,0.76956,0.39835,1.39684,0.85965,1.65438,0.000359,0.000359,0.000359
38,7668.48,1.12287,0.98818,1.41921,0.76477,0.73097,0.77862,0.40995,1.39097,0.84743,1.65409,0.00033425,0.00033425,0.00033425
39,7863.62,1.11142,0.96726,1.41159,0.78712,0.71859,0.76609,0.40141,1.38607,0.84592,1.65466,0.0003095,0.0003095,0.0003095
40,8059.6,1.10521,0.9686,1.41042,0.80304,0.71042,0.76524,0.41761,1.37494,0.83416,1.64333,0.00028475,0.00028475,0.00028475
41,8305.19,1.09965,0.75529,1.46641,0.80826,0.71481,0.78072,0.41735,1.35832,0.82918,1.62863,0.00026,0.00026,0.00026
42,8500.37,1.07667,0.71991,1.45047,0.79008,0.7192,0.77176,0.40959,1.34915,0.81436,1.61385,0.00023525,0.00023525,0.00023525
43,8696.62,1.06472,0.69834,1.43715,0.80175,0.72323,0.78719,0.41811,1.34613,0.79665,1.6163,0.0002105,0.0002105,0.0002105
44,8892.3,1.04136,0.67782,1.41722,0.78876,0.7254,0.7761,0.41321,1.34341,0.79313,1.61497,0.00018575,0.00018575,0.00018575
45,9088.98,1.03131,0.66272,1.41096,0.8011,0.72363,0.7932,0.42719,1.33122,0.78013,1.60329,0.000161,0.000161,0.000161
46,9284.12,1.01897,0.64811,1.404,0.82249,0.72947,0.79759,0.42264,1.32561,0.77409,1.59906,0.00013625,0.00013625,0.00013625
47,9480.13,1.00221,0.63297,1.39254,0.82887,0.7566,0.81167,0.43349,1.31947,0.76034,1.5948,0.0001115,0.0001115,0.0001115
48,9676.31,0.99437,0.62922,1.3867,0.80582,0.75667,0.8022,0.42937,1.31393,0.75443,1.59079,8.675e-05,8.675e-05,8.675e-05
49,9871.41,0.98023,0.62385,1.37315,0.8307,0.73293,0.80364,0.42975,1.30764,0.74723,1.58821,6.2e-05,6.2e-05,6.2e-05
50,10067.6,0.97689,0.61691,1.37306,0.82024,0.73052,0.79958,0.43258,1.30446,0.74665,1.58312,3.725e-05,3.725e-05,3.725e-05
