epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,261.533,1.58079,2.3235,1.80264,0.48787,0.21856,0.17659,0.07868,1.95486,2.15507,2.28794,0.000416235,0.000416235,0.000416235
2,472.693,1.59513,1.94999,1.81467,0.45303,0.25283,0.20403,0.08897,1.98268,2.05611,2.30272,0.00081641,0.00081641,0.00081641
3,676.552,1.58951,1.91846,1.82313,0.53452,0.22864,0.16676,0.07705,2.005,2.26624,2.28068,0.00120009,0.00120009,0.00120009
4,879.314,1.55674,1.85161,1.79112,0.48779,0.34465,0.25189,0.10877,1.90495,1.98508,2.26047,0.00117575,0.00117575,0.00117575
5,1081.46,1.51523,1.75856,1.75355,0.64244,0.34518,0.31685,0.1459,1.83877,1.74249,2.14319,0.001151,0.001151,0.001151
6,1318.84,1.49029,1.70148,1.73314,0.68158,0.33026,0.36341,0.16907,1.82637,1.69748,2.15548,0.00112625,0.00112625,0.00112625
7,1565.74,1.45275,1.63076,1.7107,0.62927,0.38885,0.39514,0.18705,1.7937,1.67336,2.11401,0.0011015,0.0011015,0.0011015
8,1765.89,1.43759,1.59942,1.693,0.64976,0.43835,0.48178,0.20844,1.73941,1.50893,2.01793,0.00107675,0.00107675,0.00107675
9,1966.09,1.42048,1.54987,1.67497,0.61754,0.44621,0.50835,0.24206,1.71295,1.58731,2.02795,0.001052,0.001052,0.001052
10,2163.46,1.39088,1.50733,1.65045,0.49817,0.52159,0.52193,0.25418,1.6727,1.36696,1.94612,0.00102725,0.00102725,0.00102725
11,2359.36,1.37551,1.46218,1.63949,0.68869,0.46814,0.53849,0.26141,1.68968,1.37721,1.95885,0.0010025,0.0010025,0.0010025
12,2556.93,1.36111,1.41996,1.62279,0.5125,0.53513,0.52345,0.26325,1.64665,1.31163,1.92265,0.00097775,0.00097775,0.00097775
13,2754.68,1.34482,1.39635,1.61239,0.7598,0.43207,0.57151,0.28394,1.62263,1.3328,1.91101,0.000953,0.000953,0.000953
14,2951.19,1.35388,1.379,1.61078,0.47469,0.62386,0.5756,0.27912,1.63105,1.26268,1.88779,0.00092825,0.00092825,0.00092825
15,3147.05,1.326,1.34257,1.5895,0.48516,0.60671,0.57134,0.2856,1.6243,1.22104,1.89589,0.0009035,0.0009035,0.0009035
