epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,106.264,1.3912,2.63616,1.71393,0.33808,0.30252,0.26202,0.11173,2.10768,3.21779,2.23625,0.000415106,0.000415106,0.000415106
2,193.047,1.45216,2.34365,1.78179,0.22287,0.24583,0.12125,0.05503,2.44497,3.45044,2.51722,0.000808245,0.000808245,0.000808245
3,278.092,1.44322,2.26555,1.79567,0.25399,0.34473,0.27303,0.18178,1.91159,2.54739,2.1132,0.00117781,0.00117781,0.00117781
4,363.087,1.42088,2.23873,1.78407,0.332,0.32305,0.27664,0.17267,1.96417,2.40589,2.20032,0.00114393,0.00114393,0.00114393
5,448.651,1.35583,2.13423,1.74661,0.40432,0.34518,0.34512,0.20026,1.94001,2.77761,2.12881,0.00110857,0.00110857,0.00110857
6,533.408,1.35119,2.0773,1.73603,0.47923,0.40861,0.39717,0.23997,1.79702,2.21311,1.96978,0.00107321,0.00107321,0.00107321
7,618.316,1.312,2.01684,1.69191,0.67298,0.32207,0.42601,0.2337,1.82331,2.13615,1.99343,0.00103786,0.00103786,0.00103786
8,702.987,1.30926,1.96496,1.67984,0.51195,0.38257,0.41895,0.25969,1.74392,2.11555,1.93849,0.0010025,0.0010025,0.0010025
9,787.84,1.22321,1.81009,1.61245,0.47326,0.4382,0.42112,0.25857,1.73632,2.08243,1.88974,0.000967143,0.000967143,0.000967143
10,872.486,1.24098,1.78637,1.63187,0.43644,0.42801,0.43735,0.27092,1.70055,2.19155,1.91458,0.000931786,0.000931786,0.000931786
11,956.981,1.19964,1.72164,1.59031,0.60783,0.42222,0.47325,0.29425,1.69188,1.94724,1.86001,0.000896429,0.000896429,0.000896429
12,1041.79,1.19359,1.68888,1.57803,0.58541,0.45399,0.49722,0.30004,1.66422,1.93158,1.82543,0.000861071,0.000861071,0.000861071
13,1126.59,1.16711,1.64085,1.56794,0.57837,0.51304,0.53941,0.31907,1.61846,1.8123,1.79766,0.000825714,0.000825714,0.000825714
14,1211.42,1.16441,1.63772,1.56332,0.56285,0.49715,0.52696,0.29239,1.57332,1.85382,1.75018,0.000790357,0.000790357,0.000790357
15,1296.28,1.14123,1.59954,1.54956,0.6718,0.48688,0.5562,0.32894,1.59878,1.78027,1.76077,0.000755,0.000755,0.000755
16,1381.02,1.10838,1.55296,1.52874,0.56311,0.50403,0.50892,0.30911,1.6125,1.89468,1.75305,0.000719643,0.000719643,0.000719643
17,1465.54,1.11723,1.5121,1.5254,0.6436,0.52154,0.57976,0.34694,1.53243,1.71773,1.71171,0.000684286,0.000684286,0.000684286
18,1550.69,1.0988,1.47098,1.50387,0.64365,0.50987,0.5622,0.33627,1.55891,1.74549,1.7733,0.000648929,0.000648929,0.000648929
19,1635.63,1.08283,1.42567,1.49206,0.60894,0.55775,0.58735,0.3549,1.55017,1.67036,1.74202,0.000613571,0.000613571,0.000613571
20,1720.48,1.08639,1.42856,1.49603,0.62905,0.55098,0.59836,0.36233,1.55288,1.60618,1.71152,0.000578214,0.000578214,0.000578214
21,1805.2,1.07316,1.39455,1.4743,0.66938,0.54733,0.60795,0.36832,1.5553,1.62333,1.70421,0.000542857,0.000542857,0.000542857
22,1890.05,1.0364,1.34719,1.4588,0.62617,0.57658,0.59838,0.3562,1.54287,1.59243,1.67918,0.0005075,0.0005075,0.0005075
23,1982.91,1.0371,1.32342,1.44635,0.72574,0.55423,0.63398,0.37947,1.56285,1.55017,1.68334,0.000472143,0.000472143,0.000472143
24,2077.66,1.01166,1.27946,1.42373,0.65673,0.56668,0.62264,0.3819,1.52027,1.56272,1.6659,0.000436786,0.000436786,0.000436786
25,2163.77,0.99721,1.25927,1.42126,0.70599,0.58999,0.64618,0.39767,1.50147,1.48306,1.67224,0.000401429,0.000401429,0.000401429
26,2287.92,1.20345,1.29965,1.61806,0.66841,0.57863,0.64031,0.39192,1.52552,1.4977,1.67132,0.000366071,0.000366071,0.000366071
27,2372.43,1.16955,1.20502,1.57748,0.69414,0.59068,0.66637,0.39791,1.50087,1.46619,1.63916,0.000330714,0.000330714,0.000330714
28,2456.81,1.15451,1.14159,1.55769,0.7656,0.57027,0.66721,0.41258,1.4983,1.48186,1.64077,0.000295357,0.000295357,0.000295357
29,2541.25,1.11886,1.10973,1.55179,0.73857,0.60254,0.67565,0.41184,1.50202,1.44454,1.64141,0.00026,0.00026,0.00026
30,2625.67,1.11177,1.06507,1.53785,0.72457,0.59626,0.67017,0.40358,1.50748,1.41601,1.64728,0.000224643,0.000224643,0.000224643
31,2710.13,1.10308,1.04276,1.52054,0.75443,0.61572,0.68677,0.41075,1.50975,1.39979,1.62531,0.000189286,0.000189286,0.000189286
32,2794.42,1.05818,0.98515,1.47216,0.77737,0.59393,0.68655,0.41694,1.53481,1.39873,1.65536,0.000153929,0.000153929,0.000153929
33,2878.92,1.04867,0.96253,1.46455,0.73412,0.60732,0.68196,0.42094,1.50207,1.3979,1.61909,0.000118571,0.000118571,0.000118571
34,2963.78,1.03081,0.91183,1.45995,0.80041,0.59601,0.68558,0.42511,1.51813,1.37205,1.63228,8.32143e-05,8.32143e-05,8.32143e-05
35,3048.44,1.01764,0.90917,1.45077,0.78066,0.60498,0.6981,0.43246,1.48776,1.35223,1.61369,4.78571e-05,4.78571e-05,4.78571e-05
